Technique,TP,FP,FN,TN,Missing_Pred,Missing_GT,Accuracy,Precision,Recall,F1-score
zero-shot,30.0,220.0,170.0,0.0,0.0,1.0,0.07142857142857142,0.12,0.15,0.1333333333333333
few-shot,50.0,231.0,166.0,0.0,1.0,1.0,0.11185682326621924,0.17793594306049823,0.23148148148148148,0.2012072434607646
contextual,55.0,219.0,159.0,0.0,8.0,1.0,0.12702078521939955,0.20072992700729927,0.2570093457943925,0.22540983606557374
Overall,135.0,670.0,495.0,0.0,9.0,3.0,0.10384615384615385,0.16770186335403728,0.21428571428571427,0.18815331010452963
